brand,model,product_year,drivetrain,trim,transmission,fuel,list_price_try,price_effective_from,observed_at,source_url,source_endpoint
Alfa Romeo,JUNIOR ELETTRICA,2026,4x2,Speciale+,Çift Kavramalı Otomatik,Elektrik,2474300,2026-08-03,2026-08-15T22:32:57.544Z,https://www.alfaromeo.com.tr/alfa-romeo-fiyat-listesi,https://arjfiyat.tofas.com.tr/pricelists?brand=alfa-romeo
Alfa Romeo,JUNIOR IBRIDA,2026,4x2,SPECIALE+,Çift Kavramalı Otomatik,Benzinli Hibrit,2668200,2026-08-03,2026-08-15T22:32:57.544Z,https://www.alfaromeo.com.tr/alfa-romeo-fiyat-listesi,https://arjfiyat.tofas.com.tr/pricelists?brand=alfa-romeo
Alfa Romeo,TONALE HYBRID 175,2026,4x2,Speciale,DCT (Otomatik),Benzinli Hibrit,3773800,2026-08-03,2026-08-15T22:32:57.544Z,https://www.alfaromeo.com.tr/alfa-romeo-fiyat-listesi,https://arjfiyat.tofas.com.tr/pricelists?brand=alfa-romeo
Alfa Romeo,TONALE DIESEL 130,2026,4x2,Ti,DCT (Otomatik),Dizel,3455400,2026-08-03,2026-08-15T22:32:57.544Z,https://www.alfaromeo.com.tr/alfa-romeo-fiyat-listesi,https://arjfiyat.tofas.com.tr/pricelists?brand=alfa-romeo
