brand,model,product_year,powertrain,trim,fuel,transmission,list_price_try,campaign_price_try,plant,source_model_id,source_page_label,observed_at,source_url,source_endpoint
Hyundai,KONA Elektrik,2025,99 kW,Advance,Elektrik,Otomatik,2377500,2237500,HMMC,7F|W5||,KONA Elektrik,2026-08-15T21:58:10.751Z,https://www.hyundai.com/tr/tr/satis/fiyat-listesi.html,https://org-eu-www.hyundai.com/eu/papi
Hyundai,KONA Elektrik,2026,99 kW,Advance (GSR-2-C),Elektrik,Otomatik,2417500,2277500,HMMC,7F|W5||,KONA Elektrik,2026-08-15T21:58:10.751Z,https://www.hyundai.com/tr/tr/satis/fiyat-listesi.html,https://org-eu-www.hyundai.com/eu/papi
Hyundai,IONIQ 5,2026,125 kW,Dynamic Visionroof,Elektrik,Otomatik,3150000,2484602,HMC,GI|W5||,IONIQ 5,2026-08-15T21:58:10.751Z,https://www.hyundai.com/tr/tr/satis/fiyat-listesi.html,https://org-eu-www.hyundai.com/eu/papi
Hyundai,IONIQ 5,2026,160 kW,Advance,Elektrik,Otomatik,3490000,3490000,HMC,GI|W5||,IONIQ 5,2026-08-15T21:58:10.751Z,https://www.hyundai.com/tr/tr/satis/fiyat-listesi.html,https://org-eu-www.hyundai.com/eu/papi
Hyundai,IONIQ 5 N,2025,448 kW 4x4,N,Elektrik,Otomatik,6205000,5800000,HMC,9I|W5||,IONIQ 5 N,2026-08-15T21:58:10.751Z,https://www.hyundai.com/tr/tr/satis/fiyat-listesi.html,https://org-eu-www.hyundai.com/eu/papi
Hyundai,Yeni IONIQ 6,2026,125 kW Standart Menzil,Advance,Elektrik,Otomatik,3225000,2483000,HMC,AL|*||,Yeni IONIQ 6,2026-08-15T21:58:10.751Z,https://www.hyundai.com/tr/tr/satis/fiyat-listesi.html,https://org-eu-www.hyundai.com/eu/papi
Hyundai,Yeni IONIQ 6,2026,160 kW Uzun Menzil,Progressive,Elektrik,Otomatik,3725000,3725000,HMC,AL|*||,Yeni IONIQ 6,2026-08-15T21:58:10.751Z,https://www.hyundai.com/tr/tr/satis/fiyat-listesi.html,https://org-eu-www.hyundai.com/eu/papi
Hyundai,IONIQ 9,2026,160kW (218PS) 4x2,Progressive,Elektrik,Otomatik,5810000,5810000,HMC,GO|*||,IONIQ 9,2026-08-15T21:58:10.751Z,https://www.hyundai.com/tr/tr/satis/fiyat-listesi.html,https://org-eu-www.hyundai.com/eu/papi
Hyundai,IONIQ 9,2026,226kW (307PS) 4x4,Calligraphy,Elektrik,Otomatik,6960000,6960000,HMC,GO|*||,IONIQ 9,2026-08-15T21:58:10.751Z,https://www.hyundai.com/tr/tr/satis/fiyat-listesi.html,https://org-eu-www.hyundai.com/eu/papi
Hyundai,TUCSON Hibrit,2025,1.6 T-GDI 215 PS HEV 4x2 AT,Elite,Benzin,Otomatik,3720000,3720000,HMMC,JF|W5|EV1|,TUCSON Hibrit,2026-08-15T21:58:10.751Z,https://www.hyundai.com/tr/tr/satis/fiyat-listesi.html,https://org-eu-www.hyundai.com/eu/papi
Hyundai,SANTA FE Hibrit,2026,1.6 T-GDI HEV 239PS 4x4,Progressive,Benzin,Otomatik,5950000,5950000,HMC,HK|*|EV1|,SANTA FE Hibrit,2026-08-15T21:58:10.751Z,https://www.hyundai.com/tr/tr/satis/fiyat-listesi.html,https://org-eu-www.hyundai.com/eu/papi
Hyundai,STARIA Hibrit,2025,1.6 T-GDI 225 PS HEV AT 4x2,Elite,Benzin,Otomatik,2721000,2590000,HMC,7R|B9|*|,STARIA Hibrit,2026-08-15T21:58:10.751Z,https://www.hyundai.com/tr/tr/satis/fiyat-listesi.html,https://org-eu-www.hyundai.com/eu/papi
